Running single-cycle Verilator trace demo
[SC-TRACE] pc=0x00000010 instr=0x00350c63 rd=x24 wb=0xfffffffe branch=0 target=0x00000014 z=0 n=1 ov=0
[SC-TRACE] pc=0x00000014 instr=0x002085b3 rd=x11 wb=0x00000022 branch=0 target=0x00000018 z=0 n=0 ov=0
[SC-TRACE] pc=0x00000018 instr=0x00010093 rd=x1 wb=0x00000015 branch=0 target=0x0000001c z=0 n=0 ov=0
[SC-TRACE] pc=0x0000001c instr=0x00058113 rd=x2 wb=0x00000022 branch=0 target=0x00000020 z=0 n=0 ov=0
[SC-TRACE] pc=0x00000020 instr=0x00150513 rd=x10 wb=0x00000008 branch=0 target=0x00000024 z=0 n=0 ov=0
[SC-TRACE] pc=0x00000024 instr=0xfedff06f rd=x0 wb=0x00000028 branch=1 target=0x00000010 z=1 n=0 ov=0
[SC-TRACE] pc=0x00000010 instr=0x00350c63 rd=x24 wb=0xffffffff branch=0 target=0x00000014 z=0 n=1 ov=0
[SC-TRACE] pc=0x00000014 instr=0x002085b3 rd=x11 wb=0x00000037 branch=0 target=0x00000018 z=0 n=0 ov=0
[SC-TRACE] pc=0x00000018 instr=0x00010093 rd=x1 wb=0x00000022 branch=0 target=0x0000001c z=0 n=0 ov=0
[SC-TRACE] pc=0x0000001c instr=0x00058113 rd=x2 wb=0x00000037 branch=0 target=0x00000020 z=0 n=0 ov=0
[SC-TRACE] pc=0x00000020 instr=0x00150513 rd=x10 wb=0x00000009 branch=0 target=0x00000024 z=0 n=0 ov=0
[SC-TRACE] pc=0x00000024 instr=0xfedff06f rd=x0 wb=0x00000028 branch=1 target=0x00000010 z=1 n=0 ov=0
[SC-TRACE] pc=0x00000010 instr=0x00350c63 rd=x24 wb=0x00000000 branch=1 target=0x00000028 z=1 n=0 ov=0
[SC-TRACE] pc=0x00000028 instr=0x10b02023 rd=x0 wb=0x00000100 branch=0 target=0x0000002c z=0 n=0 ov=0
[SC-TRACE] pc=0x0000002c instr=0x00100f93 rd=x31 wb=0x00000001 branch=0 target=0x00000030 z=0 n=0 ov=0
[PASS] Verilator single-cycle run complete. x11=55 mem[0x100]=55 cycles=61
